Food Code; code,Food Name; name,Local Name; lang,Energy; enerc,Total Fat; fatce,Dietary Fiber; fibtg,Carbohydrate; choavldf,Protein; protcnt
D040,ALU-CHE-DATH,MAR,100,0.34,3.01,3.83,0.76
D040,ARWI KE KADE,U,100,0.34,3.01,3.83,0.76
D040,CHAMA KADA,TEL,100,0.34,3.01,3.83,0.76
D040,SEPPANTHANDU,TAM,100,0.34,3.01,3.83,0.76
D040,ARBI DE DANDE,P,100,0.34,3.01,3.83,0.76
D040,SARUNADA,O,100,0.34,3.01,3.83,0.76
D040,PAAN MAKHOK,M,100,0.34,3.01,3.83,0.76
D040,CHEMBIN THANDU,MAL,100,0.34,3.01,3.83,0.76
D040,KAWANG IONG,KH,100,0.34,3.01,3.83,0.76
D040,KESU DANTHU,KAN,100,0.34,3.01,3.83,0.76
D040,ARWI-KI-DANDI,H,100,0.34,3.01,3.83,0.76
D040,KOSU THARI,A,100,0.34,3.01,3.83,0.76
D040,"COLOCASIA, STEM, BLACK",A. KOSU THARI; B. KOCHUR LOTI; H. ARWI-KI-DANDI; KAN. KESU DANTHU; KH. KAWANG IONG; MAL. CHEMBIN THANDU; M. PAAN MAKHOK; MAR. ALU-CHE-DATH; O. SARUNADA; P. ARBI DE DANDE; TAM. SEPPANTHANDU; TEL. CHAMA KADA; U. ARWI KE KADE.,100,0.34,3.01,3.83,0.76
D040,KOCHUR LOTI,B,100,0.34,3.01,3.83,0.76
D041,"COLOCASIA, STEM, GREEN",A. KOSU THARI; B. KOCHUR LOTI; H. ARWI-KI-DANDI; KAN. KESU DANTHU; KH. KA WANG JYRNGAM; MAL. CHEMBIN THANDU; M. PAAN MAKHOK; MAR. ALU-CHE-DATH; O. SARUNADA; P. ARBI DE DANDE; TAM. SEPPANTHANDU; TEL. CHAMA KADA; U. ARWI KE KADE.,81,0.22,2.33,2.86,0.91
D041,KA WANG JYRNGAM,KH,81,0.22,2.33,2.86,0.91
D042,SHOTI SHALLI,P,306,1.33,6.09,11.66,2.69
